article,line_no,phrase,global_citations
"Ortega-Alegria DR, 2019, DYNA, V86, P75",2,"to evaluate its performance, a mixture was made using castor oil, methanol, and potassium hydroxide, to obtain biodiesel and glycerin.",3
"Ortega-Alegria DR, 2019, DYNA, V86, P75",3,"by taking the glycerin stoichiometric value obtained in the reaction as the reference production value, an efficiency of 97% was reached with only the ultrasound incidence.",3
"Ortega-Alegria DR, 2019, DYNA, V86, P75",4,"in the processes with external temperature incidence, it was observed that it influences the reaction speed, since the stabilization times are around 30% less than the other observed processes.",3
"Ortega-Alegria DR, 2019, DYNA, V86, P75",5,the author.,3
"Ortega-Alegria DR, 2019, DYNA, V86, P75",6,licensee universidad nacional de colombia.,3
"Aristizabal-Alzate CE, 2019, DYNA, V86, P138",0,"chlorogenic acid (cga), a high value-added phytochemical used by the pharmaceutical and food industries, is found in residues and byproducts of the coffee industry.",2
"Aristizabal-Alzate CE, 2019, DYNA, V86, P138",1,"this paper presents a methodology to identify the adequate solvents to extract cga from coffee pulp based on hansen solubility parameters (hsps), risk assessment, sustainability evaluation, and an economic analysis.",2
"Aristizabal-Alzate CE, 2019, DYNA, V86, P138",2,"in total, 16 solvents with different physicochemical properties, which are commonly used in the industry for extraction processes, were evaluated.",2
"Aristizabal-Alzate CE, 2019, DYNA, V86, P138",3,"according to the results, the most appropriate solvents are water, methanol, ethanol, n-propanol, acetone, t-butyl alcohol, ethyl acetate, acetic acid, benzyl alcohol, and phenol.",2
"Aristizabal-Alzate CE, 2019, DYNA, V86, P138",4,"however, water, ethanol, and a mix of them are the most advisable solvents because they have the lowest ra, their hsps are near those of cga, they are easy to handle according to chem21s risk assessment guide, they have a lower carbon footprint, and they are less expensive solvents.",2
"Aristizabal-Alzate CE, 2019, DYNA, V86, P138",5,the author.,2
"Aristizabal-Alzate CE, 2019, DYNA, V86, P138",6,licensee universidad nacional de colombia.,2
"Cardenas-Quintero M, 2019, DYNA, V86, P102",0,"this paper presents a two-dimensional hydrodynamic modeling of a part of an urban road which considers topography, distribution of inlet grates and crossroads with the goal of determining better design criteria for urban road drainage.",1
"Cardenas-Quintero M, 2019, DYNA, V86, P102",1,"preferential flow indicates the spatial distribution and concentrations of the greatest amount of unit flow, allowing the internal alignment of the location of grates to be obtained.",1
"Cardenas-Quintero M, 2019, DYNA, V86, P102",2,"the analysis of scenarios includes the variation of the types of flow input, rainfall intensity and distance between grates.",1
"Cardenas-Quintero M, 2019, DYNA, V86, P102",3,this analysis is complemented by the inclusion of runoff hazard thresholds for pedestrians.,1
"Cardenas-Quintero M, 2019, DYNA, V86, P102",4,"the results show the particular behaviors of the flow over the road which is the input that determines the basic criterion for the distance between grates, based on a decision that balances hydraulic, risk and economic criteria.",1
"Cardenas-Quintero M, 2019, DYNA, V86, P102",5,the author.,1
"Cardenas-Quintero M, 2019, DYNA, V86, P102",6,licensee universidad nacional de colombia.,1
"Perez-Cepeda JA, 2019, DYNA, V86, P327",0,in the reconstruction of parts of machinery is essential to determine the best option in terms of material deposited by welding geometries recovery losses are concerned.,1
"Perez-Cepeda JA, 2019, DYNA, V86, P327",1,"this work was developed to enhance applications of hard coatings and fillers for the reconstruction of sprockets, but can be extrapolated for use in industries of different types.",1
"Perez-Cepeda JA, 2019, DYNA, V86, P327",2,"it took into account two (2) factors, the deposited material and preheating temperature, which affect the final characteristics of hard coatings applied by welding.",1
"Perez-Cepeda JA, 2019, DYNA, V86, P327",3,"results of applying wear test were weight loss in cubic millimeters (mm3) of material, which provided the wear resistance of each of the layers deposited.",1
"Perez-Cepeda JA, 2019, DYNA, V86, P327",4,"taking the test piece which came closest to the average of the previous test to characterize microstructural cut, take measurements of microhardness in area near the face wear surface analysis by sem microscopy, to measure the chemical composition of the layer worn, measure the percentage of pores in the final layer, surface roughness measuring wear zone and determine its structure by x-ray diffraction.",1
"Perez-Cepeda JA, 2019, DYNA, V86, P327",5,"hardfacing obtained coatings with high chromium contents showed the best anti-wear properties, followed by coatings applied to electrodes with manganese content of 15% and coatings applied to electrodes under low and medium carbon and alloy showed the lowest scores as the applied laboratory conditions.",1
"Perez-Cepeda JA, 2019, DYNA, V86, P327",6,the author.,1
"Perez-Cepeda JA, 2019, DYNA, V86, P327",7,licensee universidad nacional de colombia.,1
"das Neves CC, 2019, DYNA, V86, P354",0,this paper aiming to show an experimental evaluation of classic pole placement and fuzzy controller design applied on the dc link voltage control in autonomous photovoltaic system in order to ensure the stability and desired performance.,0
"das Neves CC, 2019, DYNA, V86, P354",1,"first stage shows the mathematical model to describe the dynamic behaviour, so was linearized the system around the operational point based on taylor series approach.",0
"das Neves CC, 2019, DYNA, V86, P354",2,in sequence was performed the computational analysis using matlab software.,0
"das Neves CC, 2019, DYNA, V86, P354",3,"furthermore, was performed the experimental assessment about the dynamic behaviour in open loop of the autonomous photovoltaic system, mainly electrical variables of the system.",0
"das Neves CC, 2019, DYNA, V86, P354",4,"in second stage, the experimental evaluation realized for these approaches (pi-classic and pi-fuzzy) was applied on the system, assessing the dynamic behaviour in closed-loop ensuring the stability and desired performance subject to voltage setpoint variation.",0
"das Neves CC, 2019, DYNA, V86, P354",5,"finally, were compared the design control techniques and the experimental results shows the fuzzy controller outperforms the classical design technique.",0
"das Neves CC, 2019, DYNA, V86, P354",6,the author.,0
"das Neves CC, 2019, DYNA, V86, P354",7,licensee universidad nacional de colombia.,0
"Vega-Sequeda J, 2019, DYNA, V86, P17",0,this study explored oceanographic dynamics related to high productivity processes in the northern colombian caribbean.,1
"Vega-Sequeda J, 2019, DYNA, V86, P17",1,"four scientific expeditions were carried out between may and december 2018, where selected physicochemical variables were measured using a ctdo (conductivity, temperature and dissolved oxygen sensor system), and transparency with a secchi disc.",1
"Vega-Sequeda J, 2019, DYNA, V86, P17",2,"may and december showed typical upwelling waters, while august and november showed waters characteristic of the rainy season.",1
"Vega-Sequeda J, 2019, DYNA, V86, P17",3,spatial dynamics were related to temperature and salinity.,1
"Vega-Sequeda J, 2019, DYNA, V86, P17",4,"thus, northeastern stations showed colder and saltier surface waters compared to those located to the southwest.",1
"Vega-Sequeda J, 2019, DYNA, V86, P17",5,"vertical readings were taken and the caribbean surface water mass was identified, and below it the subtropical subsurface water mass, which emerges at the beginning of the year.",1
"Vega-Sequeda J, 2019, DYNA, V86, P17",6,the results suggest that upwelling and freshwater runoff have a direct impact on the hydrographic structure of the region.,1
"Vega-Sequeda J, 2019, DYNA, V86, P17",7,the author.,1
"Vega-Sequeda J, 2019, DYNA, V86, P17",8,licensee universidad nacional de colombia.,1
"Montenegro-Murillo DD, 2019, DYNA, V86, P122",0,"studying future precipitation behavior in river basins is essential for adequate land-use planning within them, as this will help to reduce vulnerability and mitigate disasters.",0
"Montenegro-Murillo DD, 2019, DYNA, V86, P122",1,this study analyzed climate change scenarios in the cali river basin using a monthly rainfall database from 35 stations and general circulation models (gcms) from the cmip5 data set.,0
"Montenegro-Murillo DD, 2019, DYNA, V86, P122",2,"statistical downscaling was performed on the data at rcp 2.6, 4.5 and 8.5 using artificial neural networks.",0
"Montenegro-Murillo DD, 2019, DYNA, V86, P122",3,"subsequently, the changes that would take place by the year 2100 were analyzed, establishing that the different scenarios show that over the coming years, rainfall will move from the upper areas to the middle and lower areas of the river basin.",0
"Montenegro-Murillo DD, 2019, DYNA, V86, P122",4,the author.,0
"Montenegro-Murillo DD, 2019, DYNA, V86, P122",5,licensee universidad nacional de colombia.,0
"da Silva TK, 2019, DYNA, V86, P184",0,this study aimed to analyze the influence of different methodologies to determine the maximum specific gravity on the superpave mix design method.,1
"da Silva TK, 2019, DYNA, V86, P184",1,"the comparative analysis focused on the volumetric parameters, on the choice of the design particle size and, consequently, on the respective design asphalt binder contents of the studied asphalt mixtures.",1
"da Silva TK, 2019, DYNA, V86, P184",2,"regarding the particularities of the research, there were no significant differences in the design binder contents obtained using the two adopted methodologies for determining the maximum specific gravity.",1
"da Silva TK, 2019, DYNA, V86, P184",3,"from a practical point of view, the adoption of any of the methods interfered little with the results of the application of the superpave mix design method.",1
"da Silva TK, 2019, DYNA, V86, P184",4,this fact demonstrates a quality of this method since similar researches based on the marshall design method evidences the sensitivity of the protocol for determining the asphalt binder content in relation to the used type of maximum specific gravity.,1
"da Silva TK, 2019, DYNA, V86, P184",5,the author.,1
"da Silva TK, 2019, DYNA, V86, P184",6,licensee universidad nacional de colombia.,1
"Alfonso-Orjuela JE, 2019, DYNA, V86, P49",0,graphene has attracted considerable interest due its exceptional physical properties.,0
"Alfonso-Orjuela JE, 2019, DYNA, V86, P49",1,"this article describes the thermoelectric and magnetic properties such as the seebeck coefficient and the magnetoresistance, at room temperature, of multilayers of graphene fabricated through the chemical vapor deposition (cvd) method and coated with ag nanoparticles (nps).",0
"Alfonso-Orjuela JE, 2019, DYNA, V86, P49",2,"according to the results, the seebeck coefficient increased from-30 to-5 v/k as a function of deposition time of ag nps and magnetoresistance increase their initial value as a function of sheet resistance up to 16.6%.",0
"Alfonso-Orjuela JE, 2019, DYNA, V86, P49",3,the author.,0
